ID,R2010,R2011,R2012,R2013,R2014,R2015,R2016,R2017,R2018,R2019,R2020,R2021,R2022
233151,272411.0,72050.0,165546.0,1291725.0,247739.0,72893.0,96120.0,542521.0,367998.0,356988.0,105853.0,1306925.0,771232.0
233207,223434.0,223760.0,55001.0,-10349.0,225334.0,-91047.0,19323.0,266283.0,-212337.0,621859.0,401428.0,881146.0,935847.0
233235,-174757.0,-687013.0,-638832.0,-1572237.0,-1538852.0,-3315779.0,-338941.0,-1037480.0,469239.0,300791.0,449865.0,578389.0,395797.0
233284,301267.0,-1028919.0,2812875.0,405738.0,-3170488.0,719759.0,4068476.0,2362860.0,813289.0,6571583.0,5199341.0,1444846.0,9187956.0
233291,338774.0,-1653711.0,-1605210.0,-1256508.0,-3418782.0,-410423.0,1023519.0,474093.0,44818.0,669353.0,2019210.0,2371865.0,2682919.0
233382,90575.0,100811.0,99700.0,205328.0,141389.0,121087.0,160624.0,183885.0,68534.0,5126305.0,107322.0,143035.0,310052.0
233417,81323.0,56889.0,53368.0,203632.0,6357711.0,-75087.0,186624.0,-4644.0,118049.0,79048.0,86058.0,-9040.0,-139619.0
233487,4844337.541666667,-367194.0,1081289.5,2529773.0,1297890.0,-607134.0,-2512158.0,9470641.0,8623491.0,3239740.0,-2144011.0,15033866.0,22485857.0
233529,-181526.0,-370998.0,-274803.0,-142605.0,-132629.0,-591116.0,650051.0,172092.0,672954.0,-88904.0,-41504.0,34641.0,-96093.0
233550,-459516.0,-941022.0,188109.0,94305.0,-1758225.0,-85769.0,715214.0,650206.0,523892.0,-146072.0,361476.0,3554686.0,1833850.0
233606,4524130.0,4911440.0,3416493.0,3954007.0,3717565.0,3005569.0,2416543.0,3166636.0,6800704.0,10123609.0,13446514.0,15485658.0,15091443.0
233627,2580812.0,1976875.0,5492651.0,2288143.0,2941950.0,2795184.0,7244076.0,5168882.0,4288879.0,6730117.0,9187636.0,11645155.0,10950423.0
233655,630717.0,703519.0,705815.0,2774935.0,776651.0,931094.0,966325.0,1425092.0,1607811.0,1108711.0,1202398.0,1027680.0,845336.0
